# dx[Kaestchen],dU_A[V],U_A[V],dy[Kaestchen],dI_A[nA],I_A[nA]
6,0.24,0.60,4,1.66,105.00
10,0.40,0.84,4,1.66,103.34
10,0.40,1.24,4,1.66,101.69
10,0.40,1.64,4,1.66,100.03
10,0.40,2.03,4,1.66,98.38
10,0.40,2.43,4,1.66,96.72
10,0.40,2.83,4,1.66,95.07
10,0.40,3.23,4,1.66,93.41
10,0.40,3.63,4,1.66,91.76
10,0.40,4.03,5,2.07,90.10
10,0.40,4.42,5,2.07,88.03
10,0.40,4.82,5,2.07,85.97
10,0.40,5.22,5,2.07,83.90
10,0.40,5.62,6,2.48,81.83
10,0.40,6.02,6,2.48,79.34
10,0.40,6.42,6,2.48,76.86
10,0.40,6.81,6,2.48,74.38
10,0.40,7.21,7,2.90,71.90
10,0.40,7.61,7,2.90,69.00
10,0.40,8.01,8,3.31,66.10
10,0.40,8.41,9,3.72,62.79
10,0.40,8.81,10,4.14,59.07
10,0.40,9.20,11,4.55,54.93
10,0.40,9.60,13,5.38,50.38
0,0.00,10.00,0,0.00,45.00
