# U[V], N[Imp]
320,9672+-98
330,9689+-98
340,9580+-98
350,9837+-99
360,9886+-99
370,10041+-100
380,9996+-100
390,9943+-100
400,9995+-100
410,9980+-100
420,9986+-100
430,9960+-100
440,10219+-101
450,10264+-101
460,10174+-101
470,10035+-100
480,10350+-102
490,10290+-101
500,10151+-101
510,10110+-101
520,10255+-101
530,10151+-101
540,10351+-102
550,10184+-101
560,10137+-101
570,10186+-101
580,10171+-101
590,10171+-101
600,10253+-101
610,10368+-102
620,10365+-102
630,10224+-101
640,10338+-102
650,10493+-102
660,10467+-102
670,10640+-103
680,10939+-105
690,11159+-106
700,11547+-107
